Workorder Number,Brand,Product Line,Description ,MOLD,Mold Serial,Paint Code,Paint Description,WO St,VIN Number,Window1,Window2,Handles,Skirt,Door
14126629,SNUGTOP BRAND PRODUCT,SNUGTOP SUPER SPORT,SUPER SPORT 52GC15,SUPER SPORT 52GC15,1899,PAI,PAINT BC AVERAGE COST,30,,16000 HINGE GASKET - LARGE,2014 COLORADO POPOUT DS,TG/SL LIFT TAB-BLK E-COAT,,COLORADO 2014 TAILGATE WINDOW
14126632,SNUGTOP BRAND PRODUCT,SNUGTOP REBEL,REBEL 56TT14,REBEL 56TT14,1857,40,040 SUPER WHITE W8430,30,,WINDOW SB MINI & FULL SIZE-DS,WINDOW SB MINI & FULL SIZE-PS,SPRING POPOUT LOCK-TG SS,,TOYOTA TUNDRA 2014 TG WINDOW
14126640,SNUGTOP BRAND PRODUCT,SNUGTOP REBEL,REBEL 62TCDC16,REBEL 62TCDC16,1962,218,218 ATTITUDE BLACK,30,,WINDOOR SLIDER 14X60X15DEG,WINDOOR SLIDER 14X60X15DEG,WINDOOR HANDLE PRM( ) 1-1/2IN,,TOYOTA TACOMA 2016
14127300,LEER BRAND PRODUCT,LEER 100XR,100XR 56FF21,100XL 56FF21,2649,M7 ,M7 CARBONIZED GRAY M7458,20,,RW 5515 25 DS DT,RW 5515 25 PS DT,LOW PROFILE FLIP HANDLE W/SPRG,DOOR SKIRT ABS XL/XR FF21,RGL DOOR 65X19X20 XL/XR FF21
14127671,LEER BRAND PRODUCT,LEER 100XR,100XR 58GSO19,100XL 58GSO19,,GJI,GJI SHADOW GRAY WA626D,20,3GCUYEED2LG275307,RW 5515 25 DS DT,RW 5515 25 PS DT,ET-10 HANDLE ASSEMBLY BLACK,DOOR SKIRT TPO 100XL GS19,RGL DOOR 63X16X20 GS19
14127746,LEER BRAND PRODUCT,LEER 100XR,100XR 56FF15,100XL 56FF15,2577,UX ,UX INGOT SILVER 92910 2011-12,30,1FTEW1E44KKD72311,RAD SLIDER 5515 0525 R3.3 DS,RAD SLIDER 5515 0525 R3.3 PS,ET-10 HANDLE ASSEMBLY BLACK,DOOR SKIRT TPO 100XL/XQ FF15,RGL DOOR 65X19 XL
14127753,LEER BRAND PRODUCT,LEER 100XR,100XR 80GO20-H,100XL 80GO20H,2845,GAZ,GAZ SUMMIT WHITE WA8624,20,1GC4YSEY8NF120251,RAD 8515 0525 DS DT,RAD 8515 0525 PS DT,LOW PROFILE FLIP HANDLE W/SPRG,DOOR SKIRT ABS 100XL GO20H,RGL DOOR 63X20 20 180XL GSO19
14128467,LEER BRAND PRODUCT,LEER 100XR,100XR 66TTDC14,100XL 66TTDC14,2601,1G3,1G3 MAGNETIC GREY EFF,30,5TFUY5F17LX917049,RW 6716 20 DS DT,RW 6716 20 PS DT,LOW PROFILE FLIP HANDLE W/SPRG,DOOR SKIRT TPO 100XL/XQ TT14,RGL DOOR 63X19X21 100XL TT14
14129480,SNUGTOP BRAND PRODUCT,SNUGTOP CAB-HI,CAB HI 50NF13,CAB HI 50NF13,,NAH,NAH CAYENNE RED,30,,RD 14X48 12/20 E6 FIXED SCREEN,RS 14X48 12/20 E6 FIXED SCREEN,,,RAIN FLAP F7 SP CH SB DC
14129554,LEER BRAND PRODUCT,LEER 100R,100R 52TCDC16,100R 52TCDC16,2578,1G3,1G3 MAGNETIC GREY EFF,20,,RAD SLIDER 5013 0523 R3.3 DS,RAD SLIDER 5013 0523 R3.3 PS,,,RADIUS DOOR 5716 19 R3.7 2TFLT
14129565,SNUGTOP BRAND PRODUCT,SNUGTOP REBEL,REBEL 52TCDC16,REBEL 52TCDC16,1957,1G3,1G3 MAGNETIC GREY EFF,30,,RD 14X48 12/20 E6 FIXED SCREEN,RS 14X48 12/20 E6 FIXED SCREEN,PROLOCK HANDLE 00775,,TOYOTA TACOMA 2016
